INPUT_TABLE,,
Variable ID,,
BaseGDP,,
,,
region,baseGDP,
Colombia,52859,
,,
INPUT_TABLE,,
Variable ID,,
LaborForceFillout,,
,,
region,laborforce,laborforce
Colombia,1975,0.5
,,
INPUT_TABLE,,
Variable ID,,
LaborProductivity,,
,,
region,laborproductivity,laborproductivity
Colombia,1990,0.01934
Colombia,2005,0.01212
Colombia,2010,0.03669
Colombia,2015,0.03706
Colombia,2020,0.021216588
Colombia,2025,0.029730917
Colombia,2030,0.028147798
Colombia,2035,0.027829325
Colombia,2040,0.028697229
Colombia,2045,0.029334995
Colombia,2050,0.029111429
Colombia,2055,0.029750271
Colombia,2060,0.03030017
Colombia,2065,0.030833306
Colombia,2070,0.031289985
Colombia,2075,0.031706498
Colombia,2080,0.032075636
Colombia,2085,0.03232433
Colombia,2090,0.032374759
Colombia,2095,0.032217499
Colombia,2100,0.031859708
,,
INPUT_TABLE,,
Variable ID,,
PPPConvert,,
,,
region,PPPConvert,PPPConvert
Colombia,1,1.50543
